Mes,Capital_Geometrico,Capital_Aritmetico,Diferencia
0,8000000.0,8000000.0,0.0
1,8096000.0,8096000.0,0.0
2,8193152.0,8192000.0,1152.0
3,8291469.82,8288000.0,3469.82
4,8390967.46,8384000.0,6967.46
5,8491659.07,8480000.0,11659.07
6,8593558.98,8576000.0,17558.98
7,8696681.69,8672000.0,24681.69
8,8801041.87,8768000.0,33041.87
9,8906654.37,8864000.0,42654.37
10,9013534.22,8960000.0,53534.22
11,9121696.63,9056000.0,65696.63
12,9231156.99,9152000.0,79156.99
13,9341930.88,9248000.0,93930.88
14,9454034.05,9344000.0,110034.05
15,9567482.46,9440000.0,127482.46
16,9682292.25,9536000.0,146292.25
17,9798479.75,9632000.0,166479.75
18,9916061.51,9728000.0,188061.51
19,10035054.25,9824000.0,211054.25
20,10155474.9,9920000.0,235474.9
21,10277340.6,10016000.0,261340.6
22,10400668.69,10112000.0,288668.69
23,10525476.71,10208000.0,317476.71
24,10651782.43,10304000.0,347782.43
25,10779603.82,10400000.0,379603.82
26,10908959.06,10496000.0,412959.06
27,11039866.57,10592000.0,447866.57
28,11172344.97,10688000.0,484344.97
29,11306413.11,10784000.0,522413.11
30,11442090.07,10880000.0,562090.07
31,11579395.15,10976000.0,603395.15
32,11718347.89,11072000.0,646347.89
33,11858968.07,11168000.0,690968.07
34,12001275.68,11264000.0,737275.68
35,12145290.99,11360000.0,785290.99
36,12291034.48,11456000.0,835034.48
